Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3205,52
は,は,は,助詞 係助詞 * * * *,3151,52
に,に,に,助詞 格助詞 * * * *,2587,52
て,て,て,助詞 接続助詞 * * * *,2404,52
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2393,52
を,を,を,助詞 格助詞 * * * *,2075,52
が,が,が,助詞 格助詞 * * * *,2064,52
と,と,と,助詞 格助詞 * * * *,1582,52
も,も,も,助詞 係助詞 * * * *,1520,52
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1442,52
か,か,か,助詞 終助詞 * * * *,1347,52
よ,よ,よ,助詞 終助詞 * * * *,1237,52
で,で,で,助詞 格助詞 * * * *,1146,52
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1105,52
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1068,52
ん,ん,の,助詞 準体助詞 * * * *,991,52
の,の,の,助詞 準体助詞 * * * *,978,52
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,890,52
な,な,な,助詞 終助詞 * * * *,848,52
って,って,って,助詞 副助詞 * * * *,737,52
ボーン,ボーン,ボーン,名詞 普通名詞 一般 * * *,710,33
こと,こと,こと,名詞 普通名詞 一般 * * *,705,52
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,650,52
ね,ね,ね,助詞 終助詞 * * * *,639,52
〜,〜,〜,補助記号 一般 * * * *,595,52
何,何,何,代名詞 * * * * *,504,51
魔神,魔神,魔神,名詞 普通名詞 一般 * * *,481,43
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,479,52
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,448,51
か,か,か,助詞 副助詞 * * * *,437,52
から,から,から,助詞 接続助詞 * * * *,418,52
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,412,52
そう,そう,そう,副詞 * * * * *,408,51
お前,お前,御前,代名詞 * * * * *,401,52
ば,ば,ば,助詞 接続助詞 * * * *,400,52
俺,俺,俺,代名詞 * * * * *,398,51
ら,ら,等,接尾辞 名詞的 一般 * * *,384,50
この,この,此の,連体詞 * * * * *,366,52
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,364,52
それ,それ,其れ,代名詞 * * * * *,362,52
翔悟,翔悟,翔悟,名詞 固有名詞 人名 名 * *,359,52
たち,たち,達,接尾辞 名詞的 一般 * * *,358,50
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,342,52
ドラゴン,ドラゴン,ドラゴン,名詞 普通名詞 一般 * * *,342,33
どう,どう,どう,副詞 * * * * *,334,52
が,が,が,助詞 接続助詞 * * * *,330,50
さん,さん,さん,接尾辞 名詞的 一般 * * *,323,50
なん,なん,何,代名詞 * * * * *,306,52
私,私,私,代名詞 * * * * *,288,51
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,284,52
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,283,50
ルーク,ルーク,ルーク,名詞 普通名詞 一般 * * *,281,50
お,お,御,接頭辞 * * * * *,271,50
地球,地球,地球,名詞 普通名詞 一般 * * *,266,50
えっ,えっ,えっ,感動詞 一般 * * * *,265,49
これ,これ,此れ,代名詞 * * * * *,262,52
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,259,51
から,から,から,助詞 格助詞 * * * *,256,49
始まり,始まり,始まり,名詞 普通名詞 一般 * * *,243,34
ああ,ああ,ああ,感動詞 一般 * * * *,236,52
アントニオ,アントニオ,アントニオ,名詞 固有名詞 人名 一般 * *,230,49
力,力,力,名詞 普通名詞 一般 * * *,230,47
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,222,51
様,様,様,接尾辞 名詞的 一般 * * *,222,38
の,の,の,助詞 終助詞 * * * *,220,49
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,218,50
その,その,其の,連体詞 * * * * *,214,51
けど,けど,けれど,助詞 接続助詞 * * * *,214,48
あの,あの,彼の,連体詞 * * * * *,212,48
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,211,49
あっ,あっ,あっ,感動詞 一般 * * * *,204,50
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,204,39
早穂,早穂,早穂,名詞 固有名詞 人名 名 * *,204,36
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,203,46
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,198,49
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,191,49
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,190,49
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,189,51
もう,もう,もう,副詞 * * * * *,187,49
僕,僕,僕,代名詞 * * * * *,187,41
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,184,51
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,184,49
っ,っ,っ,補助記号 一般 * * * *,184,48
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,182,50
だけ,だけ,だけ,助詞 副助詞 * * * *,181,51
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,179,50
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,175,50
タイロン,タイロン,タイロン,名詞 固有名詞 人名 一般 * *,174,49
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,174,48
まで,まで,まで,助詞 副助詞 * * * *,171,51
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,170,49
もの,もの,物,名詞 普通名詞 サ変可能 * * *,167,50
今,今,今,名詞 普通名詞 副詞可能 * * *,166,45
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,165,45
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,164,47
よう,よう,様,形状詞 助動詞語幹 * * * *,160,51
はい,はい,はい,感動詞 一般 * * * *,158,49
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,158,48
わけ,わけ,訳,名詞 普通名詞 一般 * * *,157,45
さ,さ,さ,助詞 終助詞 * * * *,156,46
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,154,48
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,152,47
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,148,47
そんな,そんな,そんな,連体詞 * * * * *,148,46
シャーク,シャーク,シャーク,名詞 普通名詞 一般 * * *,145,43
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,143,45
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,141,45
コクーン,コクーン,コクーン,名詞 普通名詞 一般 * * *,141,27
ここ,ここ,此処,代名詞 * * * * *,140,50
ギルバート,ギルバート,ギルバート,名詞 固有名詞 人名 一般 * *,139,30
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,136,45
ため,ため,為,名詞 普通名詞 副詞可能 * * *,135,42
星,星,星,名詞 普通名詞 一般 * * *,135,42
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,134,48
やつ,やつ,奴,名詞 普通名詞 一般 * * *,131,34
うわっ,うわっ,うわ,感動詞 一般 * * * *,130,47
うん,うん,うん,感動詞 一般 * * * *,129,42
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,127,45
ヤツ,ヤツ,奴,名詞 普通名詞 一般 * * *,127,30
着装,着装,着装,名詞 普通名詞 サ変可能 * * *,126,45
ネポス,ネポス,ネポス,名詞 普通名詞 一般 * * *,126,24
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,125,48
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,123,45
とき,とき,時,名詞 普通名詞 副詞可能 * * *,123,45
はぁ,はぁ,はあ,感動詞 一般 * * * *,123,41
人,人,人,接尾辞 名詞的 一般 * * *,123,38
まだ,まだ,未だ,副詞 * * * * *,122,43
シュトルツ,シュトルツ,シュトルツ,名詞 固有名詞 人名 一般 * *,122,27
リーベルト,リーベルト,リーベルト,名詞 普通名詞 一般 * * *,122,20
いや,いや,否,感動詞 一般 * * * *,119,47
者,者,者,接尾辞 名詞的 一般 * * *,119,36
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,118,45
わかっ,わかる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,118,39
適合,適合,適合,名詞 普通名詞 サ変可能 * * *,117,37
ダーク,ダーク,ダーク,名詞 普通名詞 形状詞可能 * * *,116,23
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,115,44
東尾,東尾,東尾,名詞 固有名詞 人名 姓 * *,115,30
うっ,うっ,うう,感動詞 一般 * * * *,114,39
なんて,なんて,なんて,助詞 副助詞 * * * *,113,44
わ,わ,わ,助詞 終助詞 * * * *,113,38
なに,なに,何,代名詞 * * * * *,111,43
し,し,し,助詞 接続助詞 * * * *,111,39
宇宙,宇宙,宇宙,名詞 普通名詞 一般 * * *,109,27
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,107,44
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,107,44
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,107,39
アイアン,アイアン,アイアン,名詞 普通名詞 一般 * * *,106,21
