Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
て,て,て,助詞 接続助詞 * * * *,895,13
の,の,の,助詞 格助詞 * * * *,795,13
に,に,に,助詞 格助詞 * * * *,762,13
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,656,13
は,は,は,助詞 係助詞 * * * *,609,13
が,が,が,助詞 格助詞 * * * *,525,13
を,を,を,助詞 格助詞 * * * *,496,13
よ,よ,よ,助詞 終助詞 * * * *,454,13
も,も,も,助詞 係助詞 * * * *,434,13
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,391,13
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,351,13
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,343,13
で,で,で,助詞 格助詞 * * * *,318,13
と,と,と,助詞 格助詞 * * * *,304,13
ん,ん,の,助詞 準体助詞 * * * *,303,13
か,か,か,助詞 終助詞 * * * *,287,13
ね,ね,ね,助詞 終助詞 * * * *,242,13
私,私,私,代名詞 * * * * *,235,13
の,の,の,助詞 準体助詞 * * * *,214,13
って,って,って,助詞 副助詞 * * * *,209,13
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,208,13
こと,こと,こと,名詞 普通名詞 一般 * * *,203,13
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,197,10
何,何,何,代名詞 * * * * *,188,13
か,か,か,助詞 副助詞 * * * *,182,13
から,から,から,助詞 接続助詞 * * * *,182,13
俺,俺,俺,代名詞 * * * * *,182,13
〜,〜,〜,補助記号 一般 * * * *,169,13
前田,前田,前田,名詞 固有名詞 人名 姓 * *,166,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,164,13
あッ,あッ,あっ,感動詞 一般 * * * *,154,13
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,151,13
それ,それ,其れ,代名詞 * * * * *,150,13
な,な,な,助詞 終助詞 * * * *,138,13
うん,うん,うん,感動詞 一般 * * * *,135,13
えッ,えッ,えっ,感動詞 一般 * * * *,128,13
そう,そう,そう,副詞 * * * * *,128,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,124,13
さん,さん,さん,接尾辞 名詞的 一般 * * *,124,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,120,13
どう,どう,どう,副詞 * * * * *,115,13
ッ,ッ,つ,接尾辞 名詞的 助数詞 * * *,112,12
けど,けど,けれど,助詞 接続助詞 * * * *,110,13
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,110,10
の,の,の,助詞 終助詞 * * * *,109,13
ああ,ああ,ああ,感動詞 一般 * * * *,107,13
から,から,から,助詞 格助詞 * * * *,100,13
写真,写真,写真,名詞 普通名詞 一般 * * *,90,13
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,89,13
君,君,君,接尾辞 名詞的 一般 * * *,86,11
その,その,其の,連体詞 * * * * *,84,13
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,82,13
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,81,13
果音,果音,果音,名詞 固有名詞 人名 名 * *,81,10
これ,これ,此れ,代名詞 * * * * *,79,13
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,75,13
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,75,12
お前,お前,御前,代名詞 * * * * *,75,11
もう,もう,もう,副詞 * * * * *,74,13
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,72,13
ば,ば,ば,助詞 接続助詞 * * * *,71,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,70,13
撮っ,撮る,取る,動詞 一般 * * 五段-ラ行 連用形-促音便,66,13
お,お,御,接頭辞 * * * * *,64,13
わ,わ,わ,助詞 終助詞 * * * *,64,12
そんな,そんな,そんな,連体詞 * * * * *,63,13
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,62,13
だけ,だけ,だけ,助詞 副助詞 * * * *,59,13
はい,はい,はい,感動詞 一般 * * * *,58,12
中川,中川,中川,名詞 固有名詞 人名 姓 * *,58,12
あなた,あなた,貴方,代名詞 * * * * *,57,13
新見,新見,新見,名詞 固有名詞 人名 姓 * *,56,8
この,この,此の,連体詞 * * * * *,55,13
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,55,13
人,人,人,名詞 普通名詞 一般 * * *,54,13
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,53,12
深角,深角,深角,名詞 固有名詞 地名 一般 * *,53,5
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,52,13
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,51,13
好き,好き,好き,形状詞 一般 * * * *,51,12
柚ノ木,柚ノ木,柚ノ木,名詞 固有名詞 地名 一般 * *,51,8
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,50,13
達,達,達,接尾辞 名詞的 一般 * * *,50,13
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,49,13
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,49,13
九,九,9,名詞 数詞 * * * *,48,13
部,部,部,名詞 普通名詞 助数詞可能 * * *,48,11
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,46,13
じゃあ,じゃあ,で,接続詞 * * * * *,46,13
堂,堂,堂,接尾辞 名詞的 一般 * * *,46,13
