Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1389,4
て,て,て,助詞 接続助詞 * * * *,986,4
の,の,の,助詞 格助詞 * * * *,951,4
は,は,は,助詞 係助詞 * * * *,858,4
に,に,に,助詞 格助詞 * * * *,818,4
よ,よ,よ,助詞 終助詞 * * * *,798,4
を,を,を,助詞 格助詞 * * * *,681,4
が,が,が,助詞 格助詞 * * * *,620,4
ん,ん,の,助詞 準体助詞 * * * *,591,4
お,お,御,接頭辞 * * * * *,580,4
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,443,4
も,も,も,助詞 係助詞 * * * *,417,4
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,416,4
ね,ね,ね,助詞 終助詞 * * * *,404,4
で,で,で,助詞 格助詞 * * * *,402,4
か,か,か,助詞 終助詞 * * * *,378,4
な,な,な,助詞 終助詞 * * * *,354,4
〜,〜,〜,補助記号 一般 * * * *,345,4
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,327,4
と,と,と,助詞 格助詞 * * * *,298,4
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,276,4
・,・,・,補助記号 一般 * * * *,259,1
から,から,から,助詞 接続助詞 * * * *,240,4
の,の,の,助詞 準体助詞 * * * *,223,4
の,の,の,助詞 終助詞 * * * *,219,4
ここ,ここ,此処,代名詞 * * * * *,196,4
私,私,私,代名詞 * * * * *,196,4
ハク,ハク,ハク,名詞 固有名詞 人名 一般 * *,194,4
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,191,4
か,か,か,助詞 副助詞 * * * *,190,4
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,187,4
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,182,4
これ,これ,此れ,代名詞 * * * * *,175,4
い,い,い,助詞 終助詞 * * * *,166,4
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,163,4
あの,あの,彼の,連体詞 * * * * *,161,4
何,何,何,代名詞 * * * * *,157,4
って,って,って,助詞 副助詞 * * * *,153,4
どう,どう,どう,副詞 * * * * *,140,4
もう,もう,もう,副詞 * * * * *,137,4
その,その,其の,連体詞 * * * * *,135,4
千尋,千尋,千尋,名詞 固有名詞 人名 名 * *,135,4
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,135,4
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,127,4
こと,こと,こと,名詞 普通名詞 一般 * * *,123,4
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,122,4
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,120,4
