Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,889,8
の,の,の,助詞 格助詞 * * * *,837,8
は,は,は,助詞 係助詞 * * * *,799,8
に,に,に,助詞 格助詞 * * * *,704,8
て,て,て,助詞 接続助詞 * * * *,692,8
が,が,が,助詞 格助詞 * * * *,518,8
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,514,8
も,も,も,助詞 係助詞 * * * *,485,8
ん,ん,の,助詞 準体助詞 * * * *,460,8
よ,よ,よ,助詞 終助詞 * * * *,425,8
で,で,で,助詞 格助詞 * * * *,410,8
な,な,な,助詞 終助詞 * * * *,397,8
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,393,8
を,を,を,助詞 格助詞 * * * *,383,8
か,か,か,助詞 終助詞 * * * *,377,8
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,370,8
ね,ね,ね,助詞 終助詞 * * * *,356,8
と,と,と,助詞 格助詞 * * * *,344,8
うん,うん,うん,感動詞 一般 * * * *,294,8
何,何,何,代名詞 * * * * *,294,8
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,285,8
の,の,の,助詞 準体助詞 * * * *,282,8
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,269,8
えっ,えっ,えっ,感動詞 一般 * * * *,248,8
か,か,か,助詞 副助詞 * * * *,233,8
から,から,から,助詞 接続助詞 * * * *,219,8
さん,さん,さん,接尾辞 名詞的 一般 * * *,215,8
ああ,ああ,ああ,感動詞 一般 * * * *,212,8
はい,はい,はい,感動詞 一般 * * * *,205,8
あっ,あっ,あっ,感動詞 一般 * * * *,201,8
そう,そう,そう,副詞 * * * * *,199,8
こと,こと,こと,名詞 普通名詞 一般 * * *,192,8
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,183,8
どう,どう,どう,副詞 * * * * *,182,8
隼,隼,隼,名詞 固有名詞 人名 名 * *,176,8
って,って,って,助詞 副助詞 * * * *,168,8
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,167,8
隼,隼,隼,名詞 普通名詞 一般 * * *,156,8
それ,それ,其れ,代名詞 * * * * *,155,8
あ,あ,あっ,感動詞 一般 * * * *,140,8
けど,けど,けれど,助詞 接続助詞 * * * *,138,8
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,134,8
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,132,8
お前,お前,御前,代名詞 * * * * *,127,8
これ,これ,此れ,代名詞 * * * * *,122,8
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,121,8
の,の,の,助詞 終助詞 * * * *,120,8
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,112,8
俺,俺,俺,代名詞 * * * * *,112,8
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,110,8
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,103,8
みづほ,みづほ,みづほ,名詞 固有名詞 人名 名 * *,102,8
から,から,から,助詞 格助詞 * * * *,101,8
試合,試合,試合,名詞 普通名詞 サ変可能 * * *,96,8
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,94,8
さ,さ,さ,助詞 終助詞 * * * *,92,8
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,90,8
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,88,8
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,88,8
たち,たち,達,接尾辞 名詞的 一般 * * *,86,8
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,85,8
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,84,8
あの,あの,彼の,連体詞 * * * * *,83,8
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,82,8
堂,堂,堂,接尾辞 名詞的 一般 * * *,81,8
蘭,蘭,蘭,名詞 固有名詞 地名 国 * *,81,8
お,お,御,接頭辞 * * * * *,80,8
この,この,此の,連体詞 * * * * *,80,8
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,78,8
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,76,8
もう,もう,もう,副詞 * * * * *,74,8
わ,わ,わ,助詞 終助詞 * * * *,72,8
僕,僕,僕,代名詞 * * * * *,72,8
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,69,8
まあ,まあ,まあ,副詞 * * * * *,69,8
私,私,私,代名詞 * * * * *,68,8
ちょっと,ちょっと,一寸,副詞 * * * * *,67,8
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,67,8
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,65,8
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,65,8
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,64,8
じゃあ,じゃあ,で,接続詞 * * * * *,64,8
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,64,8
ファイト,ファイト,ファイト,名詞 普通名詞 一般 * * *,64,4
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,61,8
気,気,気,名詞 普通名詞 一般 * * *,60,8
ええ,ええ,ええ,感動詞 一般 * * * *,59,8
よう,よう,様,形状詞 助動詞語幹 * * * *,58,8
･,・,・,補助記号 一般 * * * *,58,8
クリス,クリス,クリス,名詞 固有名詞 人名 一般 * *,58,6
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,57,8
だけ,だけ,だけ,助詞 副助詞 * * * *,56,8
アハハ,アハハ,あはは,感動詞 一般 * * * *,56,7
エイブ,エイブ,エーブ,名詞 固有名詞 人名 一般 * *,56,5
ば,ば,ば,助詞 接続助詞 * * * *,55,8
いや,いや,否,感動詞 一般 * * * *,53,8
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,53,8
ゴダイ,ゴダイ,ゴダイ,名詞 普通名詞 一般 * * *,53,7
ゴール,ゴール,ゴール,名詞 普通名詞 サ変可能 * * *,53,7
へ,へ,へ,助詞 格助詞 * * * *,52,8
が,が,が,助詞 接続助詞 * * * *,51,8
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,51,8
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,51,8
ロペス,ロペス,ロペス,名詞 固有名詞 人名 一般 * *,51,7
キャプテン,キャプテン,キャプテン,名詞 普通名詞 一般 * * *,50,8
ユース,ユース,ユース,名詞 普通名詞 一般 * * *,50,8
ロベルト,ロベルト,ロベルト,名詞 固有名詞 人名 一般 * *,50,6
よし,よし,よし,名詞 普通名詞 一般 * * *,49,8
今日,今日,今日,名詞 普通名詞 副詞可能 * * *,49,8
あいつ,あいつ,彼奴,代名詞 * * * * *,48,8
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,48,8
おう,おう,おお,感動詞 一般 * * * *,48,8
シュート,シュート,シュート,名詞 普通名詞 サ変可能 * * *,48,8
今,今,今,名詞 普通名詞 副詞可能 * * *,48,8
その,その,其の,連体詞 * * * * *,47,8
選抜,選抜,選抜,名詞 普通名詞 サ変可能 * * *,47,4
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,46,8
まだ,まだ,未だ,副詞 * * * * *,46,8
チーム,チーム,チーム,名詞 普通名詞 一般 * * *,46,8
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,46,8
やつ,やつ,奴,名詞 普通名詞 一般 * * *,46,7
あと,あと,後,名詞 普通名詞 副詞可能 * * *,45,8
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,45,8
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,45,8
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,45,8
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,44,8
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,44,8
行く,行く,行く,動詞 非自立可能 * * 五段-カ行 終止形-一般,44,7
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,43,8
まで,まで,まで,助詞 副助詞 * * * *,43,8
伍代,伍代,伍代,名詞 固有名詞 人名 姓 * *,42,8
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,42,8
様,様,様,接尾辞 名詞的 一般 * * *,42,5
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,41,8
そんな,そんな,そんな,連体詞 * * * * *,41,8
ボール,ボール,ボール,名詞 普通名詞 一般 * * *,41,8
でしょう,です,です,助動詞 * * * 助動詞-デス 意志推量形,41,7
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,39,7
トップ,トップ,トップ,名詞 普通名詞 一般 * * *,39,7
で,で,で,助詞 接続助詞 * * * *,37,8
と,と,と,助詞 接続助詞 * * * *,37,8
本当,本当,本当,名詞 普通名詞 一般 * * *,37,8
あした,あした,明日,名詞 普通名詞 副詞可能 * * *,37,7
ありがとう,ありがとう,有り難う,感動詞 一般 * * * *,36,8
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,36,8
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,36,8
ここ,ここ,此処,代名詞 * * * * *,35,8
大地,大地,大地,名詞 普通名詞 一般 * * *,35,8
選手,選手,選手,名詞 普通名詞 一般 * * *,35,8
頑張っ,頑張る,頑張る,動詞 一般 * * 五段-ラ行 連用形-促音便,35,8
ヨハン,ヨハン,ヨハン,名詞 固有名詞 人名 一般 * *,35,7
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,34,8
君,君,君,接尾辞 名詞的 一般 * * *,34,7
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,33,8
すい,すむ,すむ,動詞 一般 * * 五段-マ行 連用形-イ音便,33,8
ところ,ところ,所,名詞 普通名詞 副詞可能 * * *,33,8
前,前,前,名詞 普通名詞 副詞可能 * * *,33,8
思う,思う,思う,動詞 一般 * * 五段-ワア行 終止形-一般,33,8
点,点,点,名詞 普通名詞 助数詞可能 * * *,33,8
話,話,話,名詞 普通名詞 サ変可能 * * *,33,8
イタリア,イタリア,イタリア,名詞 固有名詞 地名 国 * *,33,4
こんな,こんな,こんな,連体詞 * * * * *,32,8
さあ,さあ,さあ,感動詞 一般 * * * *,32,8
わけ,わけ,訳,名詞 普通名詞 一般 * * *,32,8
方,方,方,名詞 普通名詞 一般 * * *,32,8
じい,じい,爺,名詞 普通名詞 一般 * * *,32,5
なく,ない,無い,形容詞 非自立可能 * * 形容詞 連用形-一般,31,7
サッカー,サッカー,サッカー,名詞 普通名詞 一般 * * *,31,7
ジャルダン,ジャルダン,ジャルダン,名詞 普通名詞 一般 * * *,31,5
サザン,サザン,サザン,名詞 普通名詞 一般 * * *,31,4
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,30,8
すごい,すごい,凄い,形容詞 一般 * * 形容詞 終止形-一般,30,8
また,また,又,接続詞 * * * * *,30,8
時,時,時,名詞 普通名詞 副詞可能 * * *,30,8
