Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,706,11
て,て,て,助詞 接続助詞 * * * *,641,11
は,は,は,助詞 係助詞 * * * *,616,11
に,に,に,助詞 格助詞 * * * *,605,11
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,536,11
が,が,が,助詞 格助詞 * * * *,433,11
を,を,を,助詞 格助詞 * * * *,396,11
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,333,11
何,何,何,代名詞 * * * * *,325,11
よ,よ,よ,助詞 終助詞 * * * *,312,11
で,で,で,助詞 格助詞 * * * *,293,11
ん,ん,の,助詞 準体助詞 * * * *,291,11
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,285,11
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,257,11
も,も,も,助詞 係助詞 * * * *,253,11
と,と,と,助詞 格助詞 * * * *,231,11
明香,明香,明香,名詞 固有名詞 人名 名 * *,231,11
の,の,の,助詞 準体助詞 * * * *,228,11
愛,愛,愛,名詞 普通名詞 一般 * * *,226,11
か,か,か,助詞 終助詞 * * * *,217,11
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,217,11
ラブラ,ラブラ,ラブラ,名詞 普通名詞 一般 * * *,193,11
こと,こと,こと,名詞 普通名詞 一般 * * *,190,11
って,って,って,助詞 副助詞 * * * *,189,11
たん,たん,たん,接尾辞 名詞的 一般 * * *,179,11
みか,みか,みか,名詞 固有名詞 人名 名 * *,176,11
ね,ね,ね,助詞 終助詞 * * * *,154,11
な,な,な,助詞 終助詞 * * * *,151,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,130,11
か,か,か,助詞 副助詞 * * * *,120,11
から,から,から,助詞 接続助詞 * * * *,120,11
その,その,其の,連体詞 * * * * *,108,11
私,私,私,代名詞 * * * * *,107,11
これ,これ,此れ,代名詞 * * * * *,106,11
の,の,の,助詞 終助詞 * * * *,106,11
それ,それ,其れ,代名詞 * * * * *,105,11
〜,〜,〜,補助記号 一般 * * * *,103,11
や,や,や,助動詞 * * * 助動詞-ヤ 終止形-一般,91,11
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,90,11
お前,お前,御前,代名詞 * * * * *,87,11
けど,けど,けれど,助詞 接続助詞 * * * *,87,11
えっ,えっ,えっ,感動詞 一般 * * * *,86,11
あっ,あっ,あっ,感動詞 一般 * * * *,85,11
この,この,此の,連体詞 * * * * *,84,11
どう,どう,どう,副詞 * * * * *,83,11
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,79,11
そう,そう,そう,副詞 * * * * *,78,11
もう,もう,もう,副詞 * * * * *,75,11
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,70,10
俺,俺,俺,代名詞 * * * * *,69,10
チラ,チラ,ちら,副詞 * * * * *,68,11
之,之,の,助詞 格助詞 * * * *,68,11
助,助,助,名詞 普通名詞 一般 * * *,67,11
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,67,7
ああ,ああ,ああ,感動詞 一般 * * * *,63,11
から,から,から,助詞 格助詞 * * * *,62,11
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,62,11
ば,ば,ば,助詞 接続助詞 * * * *,61,11
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,60,11
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,60,10
ら,ら,等,接尾辞 名詞的 一般 * * *,58,11
ちょっと,ちょっと,一寸,副詞 * * * * *,55,11
今,今,今,名詞 普通名詞 副詞可能 * * *,55,11
貴様,貴様,貴様,代名詞 * * * * *,55,10
子,子,子,名詞 普通名詞 一般 * * *,54,9
亀男,亀男,亀男,名詞 固有名詞 人名 名 * *,54,4
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,53,11
や,や,や,助詞 副助詞 * * * *,52,11
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,52,10
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,50,11
ら,ら,ラ,助詞 終助詞 * * * *,50,10
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,49,11
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,47,10
あの,あの,彼の,連体詞 * * * * *,46,11
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,46,11
太,太,太,名詞 固有名詞 人名 名 * *,45,11
お,お,御,接頭辞 * * * * *,45,10
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,44,10
宮,宮,宮,名詞 固有名詞 人名 姓 * *,44,7
賢,賢,賢,名詞 固有名詞 人名 名 * *,44,7
遊,遊,遊,名詞 普通名詞 一般 * * *,42,11
さん,さん,さん,接尾辞 名詞的 一般 * * *,42,8
ちよ子,ちよ子,ちよ子,名詞 固有名詞 人名 名 * *,42,7
グリーゼ,グリーゼ,グリーゼ,名詞 普通名詞 一般 * * *,42,4
だけ,だけ,だけ,助詞 副助詞 * * * *,41,11
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,41,9
体,体,体,名詞 普通名詞 一般 * * *,40,11
ねん,ねん,ねん,助詞 終助詞 * * * *,39,11
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,39,11
まで,まで,まで,助詞 副助詞 * * * *,39,10
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,39,9
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,38,11
音,音,音,名詞 普通名詞 一般 * * *,38,11
ムヒ,ムヒ,ムヒ,名詞 固有名詞 一般 * * *,38,10
なんて,なんて,なんて,助詞 副助詞 * * * *,37,11
成木,成木,成木,名詞 固有名詞 人名 姓 * *,37,10
野,野,野,接尾辞 名詞的 一般 * * *,37,10
ハァ,ハァ,はあ,感動詞 一般 * * * *,37,9
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,36,10
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,36,10
わけ,わけ,訳,名詞 普通名詞 一般 * * *,36,10
と,と,と,助詞 接続助詞 * * * *,35,11
わ,わ,わ,助詞 終助詞 * * * *,35,11
パイン,パイン,パイン,名詞 普通名詞 一般 * * *,35,5
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,34,11
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,33,11
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,33,11
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,33,10
やつ,やつ,奴,名詞 普通名詞 一般 * * *,33,10
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,33,9
そんな,そんな,そんな,連体詞 * * * * *,32,10
うん,うん,うん,感動詞 一般 * * * *,31,10
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,31,10
男,男,男,名詞 普通名詞 一般 * * *,31,8
ぐり,ぐり,ぐり,副詞 * * * * *,31,7
で,で,で,助詞 接続助詞 * * * *,30,11
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,30,10
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,30,10
あいつ,あいつ,彼奴,代名詞 * * * * *,30,9
ん,ん,んっ,感動詞 一般 * * * *,30,9
誰,誰,誰,代名詞 * * * * *,30,9
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,29,11
さ,さ,さ,助詞 終助詞 * * * *,29,11
ここ,ここ,此処,代名詞 * * * * *,29,10
でしょ,です,です,助動詞 * * * 助動詞-デス 意志推量形,29,9
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,29,9
し,し,し,助詞 接続助詞 * * * *,29,8
ジュース,ジュース,ジュース,名詞 普通名詞 一般 * * *,29,7
ストレンジ,ストレンジ,ストレンジ,名詞 普通名詞 一般 * * *,29,7
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,28,11
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,28,11
前,前,前,名詞 普通名詞 副詞可能 * * *,28,10
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,28,9
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,27,11
とき,とき,時,名詞 普通名詞 副詞可能 * * *,27,10
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 命令形,26,10
し,する,為る,動詞 非自立可能 * * サ行変格 未然形-一般,26,9
ため,ため,為,名詞 普通名詞 副詞可能 * * *,26,9
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,26,9
人類,人類,人類,名詞 普通名詞 一般 * * *,26,8
会,会,会,名詞 普通名詞 一般 * * *,26,8
寺岡,寺岡,寺岡,名詞 固有名詞 人名 姓 * *,26,5
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,25,10
うわっ,うわっ,うわ,感動詞 一般 * * * *,25,8
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,24,11
へ,へ,へ,助詞 格助詞 * * * *,24,10
やろ,や,や,助動詞 * * * 助動詞-ヤ 意志推量形,24,10
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,24,10
うち,うち,内,名詞 普通名詞 副詞可能 * * *,24,9
うっ,うっ,うう,感動詞 一般 * * * *,24,9
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,24,9
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,23,10
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,23,10
古来,古来,古来,名詞 普通名詞 副詞可能 * * *,23,9
待っ,待つ,待つ,動詞 一般 * * 五段-タ行 連用形-促音便,23,9
館,館,館,接尾辞 名詞的 一般 * * *,23,9
ー,ー,ー,補助記号 一般 * * * *,23,8
