Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1358,26
は,は,は,助詞 係助詞 * * * *,1069,26
に,に,に,助詞 格助詞 * * * *,914,26
を,を,を,助詞 格助詞 * * * *,896,26
が,が,が,助詞 格助詞 * * * *,847,26
て,て,て,助詞 接続助詞 * * * *,795,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,747,26
と,と,と,助詞 格助詞 * * * *,598,26
も,も,も,助詞 係助詞 * * * *,492,26
〜,〜,〜,補助記号 一般 * * * *,481,25
か,か,か,助詞 終助詞 * * * *,477,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,464,26
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,440,26
で,で,で,助詞 格助詞 * * * *,434,26
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,390,26
あっ,あっ,あっ,感動詞 一般 * * * *,312,26
ああ,ああ,ああ,感動詞 一般 * * * *,301,26
の,の,の,助詞 準体助詞 * * * *,298,26
よ,よ,よ,助詞 終助詞 * * * *,281,26
ん,ん,の,助詞 準体助詞 * * * *,279,26
な,な,な,助詞 終助詞 * * * *,255,26
こと,こと,こと,名詞 普通名詞 一般 * * *,251,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,251,26
あ,あ,あっ,感動詞 一般 * * * *,213,25
音,音,音,名詞 普通名詞 一般 * * *,196,26
私,私,私,代名詞 * * * * *,178,25
この,この,此の,連体詞 * * * * *,174,26
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,167,19
バキ,バキ,バキ,名詞 固有名詞 人名 名 * *,166,21
が,が,が,助詞 接続助詞 * * * *,165,26
ハア,ハア,はあ,感動詞 一般 * * * *,154,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,151,26
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,148,26
って,って,って,助詞 副助詞 * * * *,145,24
シコルスキー,シコルスキー,シコルスキー,名詞 固有名詞 人名 一般 * *,145,12
ドリアン,ドリアン,ドリアン,名詞 普通名詞 一般 * * *,145,9
うっ,うっ,うう,感動詞 一般 * * * *,143,25
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,136,26
烈,烈,烈,名詞 固有名詞 人名 名 * *,133,15
たち,たち,達,接尾辞 名詞的 一般 * * *,131,25
その,その,其の,連体詞 * * * * *,129,26
ね,ね,ね,助詞 終助詞 * * * *,127,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,121,26
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,120,26
