Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,741,12
の,の,の,助詞 格助詞 * * * *,736,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,648,12
ゴーレム,ゴーレム,ゴーレム,名詞 固有名詞 一般 * * *,613,12
に,に,に,助詞 格助詞 * * * *,570,12
ソマリ,ソマリ,ソマリ,名詞 普通名詞 一般 * * *,564,12
て,て,て,助詞 接続助詞 * * * *,551,12
を,を,を,助詞 格助詞 * * * *,483,12
が,が,が,助詞 格助詞 * * * *,436,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,336,12
も,も,も,助詞 係助詞 * * * *,293,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,285,12
で,で,で,助詞 格助詞 * * * *,274,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,248,12
と,と,と,助詞 格助詞 * * * *,240,12
か,か,か,助詞 終助詞 * * * *,238,12
の,の,の,助詞 準体助詞 * * * *,225,12
な,な,な,助詞 終助詞 * * * *,205,12
おとうさん,おとうさん,お父さん,名詞 普通名詞 一般 * * *,198,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,192,12
ん,ん,の,助詞 準体助詞 * * * *,192,12
よ,よ,よ,助詞 終助詞 * * * *,189,12
か,か,か,助詞 副助詞 * * * *,143,12
って,って,って,助詞 副助詞 * * * *,133,12
何,何,何,代名詞 * * * * *,124,12
こと,こと,こと,名詞 普通名詞 一般 * * *,121,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,121,12
〜,〜,〜,補助記号 一般 * * * *,118,12
シズノ,シズノ,シズノ,名詞 普通名詞 一般 * * *,118,5
それ,それ,其れ,代名詞 * * * * *,114,12
ね,ね,ね,助詞 終助詞 * * * *,105,12
私,私,私,代名詞 * * * * *,104,12
そう,そう,そう,副詞 * * * * *,103,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,103,12
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,102,12
ウゾイ,ウゾイ,ウゾイ,名詞 普通名詞 一般 * * *,102,3
ハイトラ,ハイトラ,ハイトラ,名詞 普通名詞 一般 * * *,99,3
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,98,12
から,から,から,助詞 接続助詞 * * * *,96,12
人間,人間,人間,名詞 普通名詞 一般 * * *,93,9
この,この,此の,連体詞 * * * * *,89,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,88,8
あっ,あっ,あっ,感動詞 一般 * * * *,87,12
どう,どう,どう,副詞 * * * * *,87,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,87,11
