Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,823,12
て,て,て,助詞 接続助詞 * * * *,821,12
は,は,は,助詞 係助詞 * * * *,753,12
に,に,に,助詞 格助詞 * * * *,684,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,501,12
も,も,も,助詞 係助詞 * * * *,482,12
が,が,が,助詞 格助詞 * * * *,455,12
を,を,を,助詞 格助詞 * * * *,392,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,389,12
と,と,と,助詞 格助詞 * * * *,355,12
で,で,で,助詞 格助詞 * * * *,346,12
よ,よ,よ,助詞 終助詞 * * * *,329,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,312,12
か,か,か,助詞 終助詞 * * * *,284,12
ん,ん,の,助詞 準体助詞 * * * *,274,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,239,12
山田,山田,山田,名詞 固有名詞 人名 姓 * *,239,11
の,の,の,助詞 準体助詞 * * * *,225,12
竹本,竹本,竹本,名詞 固有名詞 人名 姓 * *,215,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,208,12
森田,森田,森田,名詞 固有名詞 人名 姓 * *,206,10
って,って,って,助詞 副助詞 * * * *,193,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,187,12
か,か,か,助詞 副助詞 * * * *,185,12
ね,ね,ね,助詞 終助詞 * * * *,169,12
俺,俺,俺,代名詞 * * * * *,162,12
声,声,声,名詞 普通名詞 一般 * * *,162,12
こと,こと,こと,名詞 普通名詞 一般 * * *,157,12
真山,真山,真山,名詞 固有名詞 人名 姓 * *,154,11
花本,花本,花本,名詞 固有名詞 人名 姓 * *,148,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,145,12
何,何,何,代名詞 * * * * *,143,12
から,から,から,助詞 接続助詞 * * * *,141,12
な,な,な,助詞 終助詞 * * * *,138,12
あっ,あっ,あっ,感動詞 一般 * * * *,122,12
ぐみ,ぐみ,茱萸,名詞 普通名詞 一般 * * *,122,11
野宮,野宮,野宮,名詞 固有名詞 人名 姓 * *,111,5
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,109,12
理花,理花,理花,名詞 固有名詞 人名 名 * *,109,9
ああ,ああ,ああ,感動詞 一般 * * * *,107,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,106,12
どう,どう,どう,副詞 * * * * *,95,12
そう,そう,そう,副詞 * * * * *,92,12
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,92,9
それ,それ,其れ,代名詞 * * * * *,88,12
もう,もう,もう,副詞 * * * * *,85,12
から,から,から,助詞 格助詞 * * * *,81,12
なん,なん,何,代名詞 * * * * *,80,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,78,12
この,この,此の,連体詞 * * * * *,77,12
の,の,の,助詞 終助詞 * * * *,75,12
私,私,私,代名詞 * * * * *,75,12
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,74,12
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,72,12
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,71,12
お前,お前,御前,代名詞 * * * * *,70,12
〜,〜,〜,補助記号 一般 * * * *,68,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,68,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,68,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,67,12
けど,けど,けれど,助詞 接続助詞 * * * *,66,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,65,12
あの,あの,彼の,連体詞 * * * * *,63,12
これ,これ,此れ,代名詞 * * * * *,63,12
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,63,12
さ,さ,さ,助詞 終助詞 * * * *,62,11
馨,馨,馨,名詞 普通名詞 一般 * * *,61,7
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,59,12
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,58,12
あ,あ,あっ,感動詞 一般 * * * *,58,11
先生,先生,先生,名詞 普通名詞 一般 * * *,58,8
まで,まで,まで,助詞 副助詞 * * * *,57,12
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,55,11
美和子,美和子,美和子,名詞 固有名詞 人名 名 * *,55,5
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,53,12
君,君,君,接尾辞 名詞的 一般 * * *,53,12
お,お,御,接頭辞 * * * * *,53,10
で,で,で,助詞 接続助詞 * * * *,52,12
ぐ,ぐ,ぐ,名詞 固有名詞 人名 一般 * *,51,9
うん,うん,うん,感動詞 一般 * * * *,50,12
その,その,其の,連体詞 * * * * *,50,12
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,50,12
ここ,ここ,此処,代名詞 * * * * *,50,11
音,音,音,名詞 普通名詞 一般 * * *,50,11
なく,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-一般,49,10
見,見る,見る,動詞 非自立可能 * * 上一段-マ行 連用形-一般,48,11
はぐ,はぐ,剥ぐ,動詞 一般 * * 五段-ガ行 終止形-一般,48,9
山崎,山崎,山崎,名詞 固有名詞 人名 姓 * *,48,5
ずっと,ずっと,ずっと,副詞 * * * * *,47,10
はい,はい,はい,感動詞 一般 * * * *,47,10
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,46,12
だけ,だけ,だけ,助詞 副助詞 * * * *,46,12
好き,好き,好き,形状詞 一般 * * * *,45,11
わ,わ,わ,助詞 終助詞 * * * *,44,11
そんな,そんな,そんな,連体詞 * * * * *,43,12
よう,よう,様,形状詞 助動詞語幹 * * * *,43,12
思っ,思う,思う,動詞 一般 * * 五段-ワア行 連用形-促音便,43,11
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,42,11
僕,僕,僕,代名詞 * * * * *,42,11
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,41,12
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,41,12
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,41,11
父,父,父,名詞 普通名詞 一般 * * *,41,6
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,40,11
彼女,彼女,彼女,代名詞 * * * * *,40,8
人,人,人,名詞 普通名詞 一般 * * *,39,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,38,11
ちょっと,ちょっと,一寸,副詞 * * * * *,38,10
ば,ば,ば,助詞 接続助詞 * * * *,38,10
なあ,なあ,な,助詞 終助詞 * * * *,36,12
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,36,11
て,てる,てる,助動詞 * * * 下一段-タ行 未然形-一般,36,11
えっ,えっ,えっ,感動詞 一般 * * * *,35,11
自分,自分,自分,名詞 普通名詞 一般 * * *,34,12
ヒック,ヒック,ヒック,名詞 固有名詞 人名 一般 * *,34,1
ホント,ホント,本当,名詞 普通名詞 一般 * * *,33,12
今,今,今,名詞 普通名詞 副詞可能 * * *,33,12
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,32,12
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,32,11
と,と,と,助詞 接続助詞 * * * *,32,11
気,気,気,名詞 普通名詞 一般 * * *,32,11
し,し,し,助詞 接続助詞 * * * *,31,11
時,時,時,名詞 普通名詞 副詞可能 * * *,31,10
学生,学生,学生,名詞 普通名詞 一般 * * *,31,6
くれ,くれる,呉れる,動詞 非自立可能 * * 下一段-ラ行 連用形-一般,30,11
たち,たち,達,接尾辞 名詞的 一般 * * *,30,11
へ,へ,へ,助詞 格助詞 * * * *,30,11
一緒,一緒,一緒,名詞 普通名詞 サ変可能 * * *,30,11
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,30,11
持っ,持つ,持つ,動詞 一般 * * 五段-タ行 連用形-促音便,30,10
来,来る,来る,動詞 非自立可能 * * カ行変格 連用形-一般,30,10
い,い,い,助詞 終助詞 * * * *,30,8
あと,あと,後,名詞 普通名詞 副詞可能 * * *,29,10
みたい,みたい,みたい,形状詞 助動詞語幹 * * * *,28,12
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,28,11
分かっ,分かる,分かる,動詞 一般 * * 五段-ラ行 連用形-促音便,28,11
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,28,10
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,28,10
もの,もの,物,名詞 普通名詞 サ変可能 * * *,28,10
原田,原田,原田,名詞 固有名詞 人名 姓 * *,28,7
また,また,又,接続詞 * * * * *,27,11
なんて,なんて,なんて,助詞 副助詞 * * * *,27,10
ほう,ほう,方,名詞 普通名詞 一般 * * *,27,10
前,前,前,名詞 普通名詞 副詞可能 * * *,27,10
修,修,修,名詞 固有名詞 人名 名 * *,27,9
君,君,君,代名詞 * * * * *,27,7
が,が,が,助詞 接続助詞 * * * *,26,11
行っ,行く,行く,動詞 非自立可能 * * 五段-カ行 連用形-促音便,26,11
・,・,・,補助記号 一般 * * * *,26,10
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,26,9
根岸,根岸,根岸,名詞 固有名詞 人名 姓 * *,26,2
あっ,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,25,10
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,25,9
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,25,9
様,様,様,接尾辞 名詞的 一般 * * *,25,7
馨,馨,馨,名詞 固有名詞 人名 名 * *,25,7
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,24,12
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,24,10
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,24,10
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,24,10
いや,いや,否,感動詞 一般 * * * *,24,9
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,24,9
時間,時間,時間,名詞 普通名詞 助数詞可能 * * *,24,9
あなた,あなた,貴方,代名詞 * * * * *,23,11
どこ,どこ,どこ,代名詞 * * * * *,23,9
うっ,うっ,うう,感動詞 一般 * * * *,23,7
手,手,手,名詞 普通名詞 助数詞可能 * * *,23,7
はな,はな,はな,名詞 普通名詞 一般 * * *,22,12
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,22,11
そう,そう,そう,形状詞 助動詞語幹 * * * *,22,10
たい,たい,たい,助動詞 * * * 助動詞-タイ 終止形-一般,22,10
こう,こう,こう,副詞 * * * * *,22,9
