Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
は,は,は,助詞 係助詞 * * * *,703,12
の,の,の,助詞 格助詞 * * * *,635,12
て,て,て,助詞 接続助詞 * * * *,612,12
メイプル,メイプル,メープル,名詞 普通名詞 一般 * * *,608,12
に,に,に,助詞 格助詞 * * * *,594,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,589,12
も,も,も,助詞 係助詞 * * * *,518,12
が,が,が,助詞 格助詞 * * * *,494,12
を,を,を,助詞 格助詞 * * * *,394,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,376,12
で,で,で,助詞 格助詞 * * * *,375,12
よ,よ,よ,助詞 終助詞 * * * *,312,12
サリー,サリー,サリー,名詞 普通名詞 一般 * * *,311,11
と,と,と,助詞 格助詞 * * * *,300,12
か,か,か,助詞 終助詞 * * * *,293,12
ね,ね,ね,助詞 終助詞 * * * *,293,12
な,な,な,助詞 終助詞 * * * *,271,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,256,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,235,12
ん,ん,の,助詞 準体助詞 * * * *,197,12
って,って,って,助詞 副助詞 * * * *,193,12
の,の,の,助詞 準体助詞 * * * *,179,12
か,か,か,助詞 副助詞 * * * *,177,12
ギルド,ギルド,ギルド,名詞 普通名詞 一般 * * *,168,7
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,155,12
ああ,ああ,ああ,感動詞 一般 * * * *,154,12
うん,うん,うん,感動詞 一般 * * * *,153,12
から,から,から,助詞 接続助詞 * * * *,145,12
これ,これ,此れ,代名詞 * * * * *,142,12
〜,〜,〜,補助記号 一般 * * * *,132,12
こと,こと,こと,名詞 普通名詞 一般 * * *,130,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,130,12
ユイ,ユイ,ユイ,名詞 固有名詞 人名 名 * *,127,8
あっ,あっ,あっ,感動詞 一般 * * * *,125,12
マイ,マイ,マイ,名詞 普通名詞 一般 * * *,125,8
私,私,私,代名詞 * * * * *,123,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,122,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,112,12
さん,さん,さん,接尾辞 名詞的 一般 * * *,108,12
それ,それ,其れ,代名詞 * * * * *,106,12
けど,けど,けれど,助詞 接続助詞 * * * *,105,12
クロム,クロム,クロム,名詞 普通名詞 一般 * * *,103,10
･,・,・,補助記号 一般 * * * *,101,10
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,97,12
し,し,し,助詞 接続助詞 * * * *,97,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,97,12
何,何,何,代名詞 * * * * *,94,12
スキル,スキル,スキル,名詞 普通名詞 一般 * * *,93,12
どう,どう,どう,副詞 * * * * *,91,12
たち,たち,達,接尾辞 名詞的 一般 * * *,84,12
そう,そう,そう,副詞 * * * * *,83,12
カスミ,カスミ,霞,名詞 普通名詞 一般 * * *,83,9
ば,ば,ば,助詞 接続助詞 * * * *,79,11
えっ,えっ,えっ,感動詞 一般 * * * *,78,12
もう,もう,もう,副詞 * * * * *,73,12
イベント,イベント,イベント,名詞 普通名詞 一般 * * *,73,10
