Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2646,25
は,は,は,助詞 係助詞 * * * *,2172,25
に,に,に,助詞 格助詞 * * * *,1639,25
を,を,を,助詞 格助詞 * * * *,1567,25
て,て,て,助詞 接続助詞 * * * *,1426,25
が,が,が,助詞 格助詞 * * * *,1332,25
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1288,25
と,と,と,助詞 格助詞 * * * *,871,25
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,827,25
も,も,も,助詞 係助詞 * * * *,790,25
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,729,25
で,で,で,助詞 格助詞 * * * *,726,25
か,か,か,助詞 終助詞 * * * *,602,25
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,548,25
よ,よ,よ,助詞 終助詞 * * * *,531,25
メリオダス,メリオダス,メリオダス,名詞 普通名詞 一般 * * *,528,25
な,な,な,助詞 終助詞 * * * *,513,25
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,501,25
の,の,の,助詞 準体助詞 * * * *,461,25
ん,ん,の,助詞 準体助詞 * * * *,388,25
こと,こと,こと,名詞 普通名詞 一般 * * *,380,25
何,何,何,代名詞 * * * * *,361,25
俺,俺,俺,代名詞 * * * * *,353,25
お前,お前,御前,代名詞 * * * * *,305,25
あっ,あっ,あっ,感動詞 一般 * * * *,304,25
バン,バン,バン,名詞 普通名詞 一般 * * *,293,21
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,269,25
私,私,私,代名詞 * * * * *,250,23
この,この,此の,連体詞 * * * * *,246,25
様,様,様,接尾辞 名詞的 一般 * * *,236,24
ホーク,ホーク,ホーク,名詞 普通名詞 一般 * * *,233,25
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,232,25
エリザベス,エリザベス,エリザベス,名詞 固有名詞 人名 一般 * *,224,20
か,か,か,助詞 副助詞 * * * *,219,25
それ,それ,其れ,代名詞 * * * * *,219,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,217,25
ああ,ああ,ああ,感動詞 一般 * * * *,215,25
ディアンヌ,ディアンヌ,ディアンヌ,名詞 固有名詞 人名 一般 * *,213,20
これ,これ,此れ,代名詞 * * * * *,211,25
ね,ね,ね,助詞 終助詞 * * * *,206,25
その,その,其の,連体詞 * * * * *,198,25
どう,どう,どう,副詞 * * * * *,198,25
ら,ら,等,接尾辞 名詞的 一般 * * *,196,25
ガラン,ガラン,がらん,副詞 * * * * *,192,16
たち,たち,達,接尾辞 名詞的 一般 * * *,191,25
って,って,って,助詞 副助詞 * * * *,187,24
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,185,25
〜,〜,〜,補助記号 一般 * * * *,182,25
ば,ば,ば,助詞 接続助詞 * * * *,182,25
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,181,25
から,から,から,助詞 格助詞 * * * *,176,25
が,が,が,助詞 接続助詞 * * * *,172,24
魔神,魔神,魔神,名詞 普通名詞 一般 * * *,171,25
戒,戒,戒,名詞 普通名詞 一般 * * *,170,24
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,169,25
つ,つ,つ,接尾辞 名詞的 助数詞 * * *,166,25
キング,キング,キング,名詞 普通名詞 一般 * * *,166,21
マーリン,マーリン,マーリン,名詞 固有名詞 人名 一般 * *,164,21
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,160,25
大罪,大罪,大罪,名詞 普通名詞 一般 * * *,159,25
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,158,25
魔力,魔力,魔力,名詞 普通名詞 一般 * * *,155,24
エスカノール,エスカノール,エスカノール,名詞 普通名詞 一般 * * *,155,14
騎士,騎士,騎士,名詞 普通名詞 一般 * * *,152,22
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,151,25
今,今,今,名詞 普通名詞 副詞可能 * * *,150,24
十,十,10,名詞 数詞 * * * *,146,24
うっ,うっ,うう,感動詞 一般 * * * *,143,25
から,から,から,助詞 接続助詞 * * * *,138,25
七,七,7,名詞 数詞 * * * *,129,25
お,お,御,接頭辞 * * * * *,128,25
ドリン,ドリン,ドリン,名詞 普通名詞 一般 * * *,128,17
フラウ,フラウ,フラウ,名詞 普通名詞 一般 * * *,128,17
妖精,妖精,妖精,名詞 普通名詞 一般 * * *,127,18
の,の,の,助詞 終助詞 * * * *,125,24
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,124,25
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,122,25
ぜ,ぜ,ぜ,助詞 終助詞 * * * *,121,24
ああっ,ああっ,ああ,感動詞 一般 * * * *,121,22
ジェリコ,ジェリコ,エリコ,名詞 固有名詞 地名 一般 * *,121,19
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,120,25
よう,よう,様,形状詞 助動詞語幹 * * * *,111,25
あの,あの,彼の,連体詞 * * * * *,110,25
もう,もう,もう,副詞 * * * * *,110,25
力,力,力,名詞 普通名詞 一般 * * *,109,23
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,108,25
んっ,んっ,んっ,感動詞 一般 * * * *,107,25
そう,そう,そう,副詞 * * * * *,107,24
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,104,24
･,・,・,補助記号 一般 * * * *,102,24
ゴウセル,ゴウセル,ゴウセル,名詞 普通名詞 一般 * * *,102,17
ここ,ここ,此処,代名詞 * * * * *,101,24
君,君,君,代名詞 * * * * *,101,19
族,族,族,接尾辞 名詞的 一般 * * *,100,25
わ,わ,わ,助詞 終助詞 * * * *,100,21
うん,うん,うん,感動詞 一般 * * * *,100,20
エレイン,エレイン,エレイン,名詞 固有名詞 人名 一般 * *,99,15
さん,さん,さん,接尾辞 名詞的 一般 * * *,97,21
人間,人間,人間,名詞 普通名詞 一般 * * *,95,24
あなた,あなた,貴方,代名詞 * * * * *,95,20
奴,奴,奴,名詞 普通名詞 一般 * * *,93,23
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,91,23
ヘンドリクセン,ヘンドリクセン,ヘンドリクセン,名詞 普通名詞 一般 * * *,91,18
ハッ,ハッ,はっ,感動詞 一般 * * * *,90,25
音,音,音,名詞 普通名詞 一般 * * *,90,25
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,90,24
へ,へ,へ,助詞 格助詞 * * * *,90,23
ため,ため,為,名詞 普通名詞 副詞可能 * * *,89,24
人,人,人,名詞 普通名詞 一般 * * *,88,25
だけ,だけ,だけ,助詞 副助詞 * * * *,88,23
殿,殿,殿,接尾辞 名詞的 一般 * * *,88,21
まで,まで,まで,助詞 副助詞 * * * *,87,23
マトローナ,マトローナ,マトローナ,名詞 普通名詞 一般 * * *,87,10
し,し,し,助詞 接続助詞 * * * *,86,25
ドレファス,ドレファス,ドレファス,名詞 普通名詞 一般 * * *,86,16
前,前,前,名詞 普通名詞 副詞可能 * * *,84,25
年,年,年,名詞 普通名詞 助数詞可能 * * *,84,25
者,者,者,名詞 普通名詞 一般 * * *,84,25
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,83,25
団長,団長,団長,名詞 普通名詞 一般 * * *,83,19
王,王,王,名詞 普通名詞 一般 * * *,83,18
ハウザー,ハウザー,ハウザー,名詞 固有名詞 人名 一般 * *,83,16
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,80,25
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,80,24
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,80,24
ねえ,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,80,24
なかっ,ない,ない,助動詞 * * * 助動詞-ナイ 連用形-促音便,79,25
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,79,24
ジバゴ,ジバゴ,ジバゴ,名詞 固有名詞 人名 一般 * *,79,7
聖,聖,聖,接頭辞 * * * * *,77,18
もの,もの,物,名詞 普通名詞 サ変可能 * * *,76,25
あ,あ,あっ,感動詞 一般 * * * *,76,24
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,75,25
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,75,25
けど,けど,けれど,助詞 接続助詞 * * * *,73,24
バン,バン,ばん,副詞 * * * * *,73,20
闘級,闘級,闘級,名詞 普通名詞 一般 * * *,73,15
ボク,ボク,僕,代名詞 * * * * *,73,13
誰,誰,誰,代名詞 * * * * *,72,19
ギルサンダー,ギルサンダー,ギルサンダー,名詞 普通名詞 一般 * * *,72,16
スレイダー,スレイダー,スレイダー,名詞 普通名詞 一般 * * *,72,14
おい,おい,おい,感動詞 一般 * * * *,71,23
さ,さ,さ,助詞 終助詞 * * * *,71,22
ねえ,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,71,22
だろう,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,69,24
で,で,で,助詞 接続助詞 * * * *,69,24
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,69,22
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,68,25
だろ,だ,だ,助動詞 * * * 助動詞-ダ 意志推量形,67,22
本当,本当,本当,名詞 普通名詞 一般 * * *,66,22
ん,ん,んっ,感動詞 一般 * * * *,66,16
なんて,なんて,なんて,助詞 副助詞 * * * *,65,21
まさか,まさか,まさか,副詞 * * * * *,64,21
メラスキュラ,メラスキュラ,メラスキュラ,名詞 普通名詞 一般 * * *,64,16
森,森,森,名詞 普通名詞 一般 * * *,64,15
じゃ,じゃ,じゃ,助動詞 * * * 助動詞-ジャ 終止形-一般,64,14
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 未然形-一般,62,25
えっ,えっ,えっ,感動詞 一般 * * * *,62,20
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,61,22
じゃ,じゃ,で,助詞 格助詞 * * * *,61,22
声,声,声,名詞 普通名詞 一般 * * *,61,18
っス,ッス,です,助動詞 * * * 助動詞-デス 終止形-一般,61,9
ナレーション,ナレーション,ナレーション,名詞 普通名詞 一般 * * *,60,25
っ,っ,っ,補助記号 一般 * * * *,60,23
我,我,我,代名詞 * * * * *,59,23
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,59,19
男,男,男,名詞 普通名詞 一般 * * *,59,17
ハア,ハア,はあ,感動詞 一般 * * * *,59,16
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,58,24
心,心,心,名詞 普通名詞 サ変可能 * * *,57,17
人,人,人,接尾辞 名詞的 一般 * * *,56,25
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,56,23
なあ,なあ,な,助詞 終助詞 * * * *,56,23
アーサー,アーサー,アーサー,名詞 固有名詞 人名 一般 * *,56,17
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,55,23
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,55,22
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,55,20
女,女,女,名詞 普通名詞 一般 * * *,55,19
なっ,なっ,なあ,感動詞 一般 * * * *,55,18
なら,なる,成る,動詞 非自立可能 * * 五段-ラ行 未然形-一般,54,25
なぜ,なぜ,何故,副詞 * * * * *,54,20
貴様,貴様,貴様,代名詞 * * * * *,54,16
より,より,より,助詞 格助詞 * * * *,53,23
ザラトラス,ザラトラス,ザラトラス,名詞 普通名詞 一般 * * *,53,7
なん,なん,何,代名詞 * * * * *,52,21
オイラ,オイラ,オイラ,代名詞 * * * * *,52,18
話,話,話,名詞 普通名詞 サ変可能 * * *,51,22
わけ,わけ,訳,名詞 普通名詞 一般 * * *,50,22
手,手,手,名詞 普通名詞 助数詞可能 * * *,50,22
こんな,こんな,こんな,連体詞 * * * * *,50,20
気,気,気,名詞 普通名詞 一般 * * *,49,25
