Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1796,8
は,は,は,助詞 係助詞 * * * *,1626,8
を,を,を,助詞 格助詞 * * * *,1207,8
に,に,に,助詞 格助詞 * * * *,1065,8
が,が,が,助詞 格助詞 * * * *,1004,8
て,て,て,助詞 接続助詞 * * * *,1001,8
と,と,と,助詞 格助詞 * * * *,683,8
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,604,8
も,も,も,助詞 係助詞 * * * *,585,8
で,で,で,助詞 格助詞 * * * *,574,8
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,469,8
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,447,8
この,この,此の,連体詞 * * * * *,417,8
鷲巣,鷲巣,鷲巣,名詞 固有名詞 地名 一般 * *,406,5
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,328,8
か,か,か,助詞 終助詞 * * * *,316,8
の,の,の,助詞 準体助詞 * * * *,313,8
アカギ,アカギ,アカギ,名詞 固有名詞 人名 姓 * *,311,7
ば,ば,ば,助詞 接続助詞 * * * *,297,8
こと,こと,こと,名詞 普通名詞 一般 * * *,285,8
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,271,8
その,その,其の,連体詞 * * * * *,256,8
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,236,8
それ,それ,其れ,代名詞 * * * * *,227,8
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,213,8
牌,牌,牌,名詞 普通名詞 一般 * * *,208,8
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,206,8
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,188,8
か,か,か,助詞 副助詞 * * * *,183,8
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,171,8
何,何,何,代名詞 * * * * *,171,8
が,が,が,助詞 接続助詞 * * * *,165,8
これ,これ,此れ,代名詞 * * * * *,163,8
ん,ん,の,助詞 準体助詞 * * * *,154,8
そう,そう,そう,副詞 * * * * *,148,8
わし,わし,わし,代名詞 * * * * *,144,6
から,から,から,助詞 格助詞 * * * *,136,8
手,手,手,名詞 普通名詞 助数詞可能 * * *,133,8
な,な,な,助詞 終助詞 * * * *,120,8
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,118,8
俺,俺,俺,代名詞 * * * * *,115,8
待ち,待ち,待ち,名詞 普通名詞 一般 * * *,115,8
しかし,しかし,然し,接続詞 * * * * *,114,8
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,110,8
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,106,8
お前,お前,御前,代名詞 * * * * *,98,7
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,97,8
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,97,8
ドラ,ドラ,ドラ,名詞 固有名詞 地名 一般 * *,97,8
どう,どう,どう,副詞 * * * * *,96,8
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,95,8
あの,あの,彼の,連体詞 * * * * *,94,8
ここ,ここ,此処,代名詞 * * * * *,94,8
まで,まで,まで,助詞 副助詞 * * * *,94,8
今,今,今,名詞 普通名詞 副詞可能 * * *,94,8
よ,よ,よ,助詞 終助詞 * * * *,92,8
麻雀,麻雀,マージャン,名詞 普通名詞 一般 * * *,90,7
だけ,だけ,だけ,助詞 副助詞 * * * *,89,8
もう,もう,もう,副詞 * * * * *,89,8
そんな,そんな,そんな,連体詞 * * * * *,88,8
勝負,勝負,勝負,名詞 普通名詞 サ変可能 * * *,87,8
浦部,浦部,浦部,名詞 固有名詞 人名 姓 * *,84,2
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,81,8
西,西,西,名詞 普通名詞 一般 * * *,81,3
点,点,点,名詞 普通名詞 助数詞可能 * * *,80,8
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,77,8
から,から,から,助詞 接続助詞 * * * *,74,8
ツモ,ツモ,ツモ,名詞 普通名詞 一般 * * *,74,8
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,73,8
なる,なる,成る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,73,8
巡,巡,巡,接尾辞 名詞的 助数詞 * * *,73,8
って,って,って,助詞 副助詞 * * * *,72,8
よう,よう,様,形状詞 助動詞語幹 * * * *,71,8
