Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,3766,51
に,に,に,助詞 格助詞 * * * *,2927,51
て,て,て,助詞 接続助詞 * * * *,2898,51
は,は,は,助詞 係助詞 * * * *,2833,51
が,が,が,助詞 格助詞 * * * *,2247,51
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,2137,51
も,も,も,助詞 係助詞 * * * *,1951,51
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,1831,51
を,を,を,助詞 格助詞 * * * *,1659,51
よ,よ,よ,助詞 終助詞 * * * *,1646,51
〜,〜,〜,補助記号 一般 * * * *,1599,51
で,で,で,助詞 格助詞 * * * *,1502,51
ね,ね,ね,助詞 終助詞 * * * *,1396,51
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,1324,51
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,1320,51
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,1320,51
と,と,と,助詞 格助詞 * * * *,1253,51
わ,わ,わ,助詞 終助詞 * * * *,1018,51
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,999,51
の,の,の,助詞 準体助詞 * * * *,980,51
みんな,みんな,皆,名詞 普通名詞 副詞可能 * * *,931,51
か,か,か,助詞 終助詞 * * * *,912,51
か,か,か,助詞 副助詞 * * * *,899,51
ん,ん,の,助詞 準体助詞 * * * *,869,51
ちあり,ちあり,ちあり,名詞 固有名詞 人名 名 * *,848,51
ジュエル,ジュエル,ジュエル,名詞 普通名詞 一般 * * *,796,51
お,お,御,接頭辞 * * * * *,758,51
私,私,私,代名詞 * * * * *,752,51
って,って,って,助詞 副助詞 * * * *,705,51
ラブ,ラブ,ラブ,名詞 普通名詞 一般 * * *,704,51
な,な,な,助詞 終助詞 * * * *,685,50
パカ,パカ,パカ,名詞 普通名詞 一般 * * *,642,51
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,639,51
ルビー,ルビー,ルビー,名詞 固有名詞 人名 一般 * *,638,51
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,616,51
こと,こと,こと,名詞 普通名詞 一般 * * *,581,51
そう,そう,そう,副詞 * * * * *,536,51
魔法,魔法,魔法,名詞 普通名詞 一般 * * *,516,50
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,493,50
あっ,あっ,あっ,感動詞 一般 * * * *,485,51
の,の,の,助詞 終助詞 * * * *,477,51
宝石,宝石,宝石,名詞 普通名詞 一般 * * *,475,50
これ,これ,此れ,代名詞 * * * * *,464,51
どう,どう,どう,副詞 * * * * *,453,51
でしゅ,でしゅ,でしゅ,助動詞 * * * 助動詞-デス 終止形-一般,452,29
何,何,何,代名詞 * * * * *,451,51
ちゃん,ちゃん,ちゃん,接尾辞 名詞的 一般 * * *,436,41
それ,それ,其れ,代名詞 * * * * *,424,51
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,405,51
ハッピー,ハッピー,ハッピー,形状詞 一般 * * * *,398,51
ガーネット,ガーネット,ガーネット,名詞 普通名詞 一般 * * *,397,51
から,から,から,助詞 接続助詞 * * * *,396,51
サフィー,サフィー,サフィー,名詞 普通名詞 一般 * * *,395,51
先輩,先輩,先輩,名詞 普通名詞 一般 * * *,395,44
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,387,51
この,この,此の,連体詞 * * * * *,384,51
ローサ,ローサ,ローサ,名詞 固有名詞 人名 名 * *,382,51
たち,たち,達,接尾辞 名詞的 一般 * * *,381,51
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,379,51
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,378,51
まりえ,まりえ,まりえ,名詞 固有名詞 人名 名 * *,378,31
ラブラ,ラブラ,ラブラ,名詞 普通名詞 一般 * * *,376,51
ペット,ペット,ペット,名詞 普通名詞 一般 * * *,353,49
なん,なん,何,代名詞 * * * * *,336,51
エンジェラ,エンジェラ,エンジェラ,名詞 普通名詞 一般 * * *,329,51
真田,真田,真田,名詞 固有名詞 人名 姓 * *,321,42
ねね,ねね,ねね,名詞 固有名詞 人名 名 * *,320,51
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,309,51
うん,うん,うん,感動詞 一般 * * * *,309,50
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,303,51
から,から,から,助詞 格助詞 * * * *,299,50
ば,ば,ば,助詞 接続助詞 * * * *,299,50
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,292,49
えっ,えっ,えっ,感動詞 一般 * * * *,290,49
もう,もう,もう,副詞 * * * * *,286,50
て,てる,てる,助動詞 * * * 下一段-タ行 連用形-一般,281,51
さん,さん,さん,接尾辞 名詞的 一般 * * *,276,48
ちゃっ,ちゃう,ちゃう,助動詞 * * * 五段-ワア行 連用形-促音便,272,51
いい,いい,良い,形容詞 非自立可能 * * 形容詞 連体形-一般,271,51
てる,てる,てる,助動詞 * * * 下一段-タ行 連体形-一般,266,51
るる,るる,るる,名詞 固有名詞 人名 名 * *,262,51
様,様,様,接尾辞 名詞的 一般 * * *,254,47
カフェ,カフェ,カフェ,名詞 普通名詞 一般 * * *,243,46
はい,はい,はい,感動詞 一般 * * * *,239,46
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,233,47
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,231,50
やっ,やる,遣る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,231,50
けど,けど,けれど,助詞 接続助詞 * * * *,230,50
だっ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-促音便,227,50
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,226,51
ジュエリーナ,ジュエリーナ,ジュエリーナ,名詞 普通名詞 一般 * * *,215,40
し,し,し,助詞 接続助詞 * * * *,213,49
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,204,50
大丈夫,大丈夫,大丈夫,形状詞 一般 * * * *,203,48
あの,あの,彼の,連体詞 * * * * *,203,46
ハピネス,ハピネス,ハピネス,名詞 普通名詞 一般 * * *,196,51
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,194,50
で,で,で,助詞 接続助詞 * * * *,194,49
ここ,ここ,此処,代名詞 * * * * *,191,48
その,その,其の,連体詞 * * * * *,190,50
フラッシュ,フラッシュ,フラッシュ,名詞 普通名詞 一般 * * *,190,50
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,188,44
よう,よう,様,形状詞 助動詞語幹 * * * *,184,51
と,と,と,助詞 接続助詞 * * * *,184,48
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,182,50
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,180,45
俺,俺,俺,代名詞 * * * * *,177,29
