Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2028,26
に,に,に,助詞 格助詞 * * * *,1674,26
は,は,は,助詞 係助詞 * * * *,1650,26
て,て,て,助詞 接続助詞 * * * *,1554,26
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1517,26
が,が,が,助詞 格助詞 * * * *,1408,26
を,を,を,助詞 格助詞 * * * *,1388,26
よ,よ,よ,助詞 終助詞 * * * *,997,26
も,も,も,助詞 係助詞 * * * *,890,26
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,798,26
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,747,26
の,の,の,助詞 準体助詞 * * * *,741,26
か,か,か,助詞 終助詞 * * * *,711,26
ん,ん,の,助詞 準体助詞 * * * *,711,26
と,と,と,助詞 格助詞 * * * *,663,26
で,で,で,助詞 格助詞 * * * *,643,26
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,577,26
な,な,な,助詞 終助詞 * * * *,530,26
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,480,26
槍,槍,槍,名詞 普通名詞 一般 * * *,451,25
って,って,って,助詞 副助詞 * * * *,335,26
ああ,ああ,ああ,感動詞 一般 * * * *,294,26
か,か,か,助詞 副助詞 * * * *,292,26
この,この,此の,連体詞 * * * * *,291,26
ら,ら,等,接尾辞 名詞的 一般 * * *,283,26
事,事,事,名詞 普通名詞 一般 * * *,280,26
お前,お前,御前,代名詞 * * * * *,275,26
何,何,何,代名詞 * * * * *,260,26
から,から,から,助詞 接続助詞 * * * *,259,26
潮,潮,潮,名詞 普通名詞 一般 * * *,250,25
それ,それ,其れ,代名詞 * * * * *,244,26
なん,なん,何,代名詞 * * * * *,243,26
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,233,26
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,220,26
私,私,私,代名詞 * * * * *,217,24
獣,獣,獣,名詞 普通名詞 一般 * * *,216,25
ね,ね,ね,助詞 終助詞 * * * *,212,26
人間,人間,人間,名詞 普通名詞 一般 * * *,210,25
あっ,あっ,あっ,感動詞 一般 * * * *,209,26
その,その,其の,連体詞 * * * * *,209,26
俺,俺,俺,代名詞 * * * * *,207,22
あ,あ,あっ,感動詞 一般 * * * *,197,26
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,192,26
ー,ー,ー,補助記号 一般 * * * *,182,26
土壇場,土壇場,土壇場,名詞 普通名詞 一般 * * *,182,26
とら,とら,虎,名詞 普通名詞 一般 * * *,182,25
者,者,者,名詞 普通名詞 一般 * * *,169,23
どう,どう,どう,副詞 * * * * *,168,26
わ,わ,わ,助詞 終助詞 * * * *,167,23
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,161,25
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,159,25
もう,もう,もう,副詞 * * * * *,157,26
はっ,はっ,はっ,感動詞 一般 * * * *,156,26
から,から,から,助詞 格助詞 * * * *,155,26
わし,わし,わし,代名詞 * * * * *,154,24
