Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,2070,27
は,は,は,助詞 係助詞 * * * *,1837,27
に,に,に,助詞 格助詞 * * * *,1502,27
を,を,を,助詞 格助詞 * * * *,1408,27
て,て,て,助詞 接続助詞 * * * *,1373,27
が,が,が,助詞 格助詞 * * * *,1291,27
レオン,レオン,レオン,名詞 固有名詞 一般 * * *,1216,27
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,1012,27
と,と,と,助詞 格助詞 * * * *,855,27
も,も,も,助詞 係助詞 * * * *,850,27
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,740,27
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,702,27
で,で,で,助詞 格助詞 * * * *,694,27
か,か,か,助詞 終助詞 * * * *,660,27
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,650,27
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,626,27
クイニー,クイニー,クイーニー,名詞 固有名詞 人名 一般 * *,490,27
ダグ,ダグ,ダグ,名詞 固有名詞 人名 一般 * *,479,27
の,の,の,助詞 準体助詞 * * * *,467,27
クロエ,クロエ,クロエ,名詞 固有名詞 人名 一般 * *,453,27
〜,〜,〜,補助記号 一般 * * * *,428,27
ん,ん,の,助詞 準体助詞 * * * *,426,27
あっ,あっ,あっ,感動詞 一般 * * * *,424,27
ジェイ,ジェイ,ジェイ,名詞 普通名詞 一般 * * *,405,27
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,378,27
ケイン,ケイン,ケイン,名詞 固有名詞 人名 一般 * *,378,27
音,音,音,名詞 普通名詞 一般 * * *,346,27
こと,こと,こと,名詞 普通名詞 一般 * * *,338,27
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,335,27
グレン,グレン,グレン,名詞 固有名詞 人名 一般 * *,332,27
さん,さん,さん,接尾辞 名詞的 一般 * * *,293,26
な,な,な,助詞 終助詞 * * * *,291,27
か,か,か,助詞 副助詞 * * * *,277,27
よ,よ,よ,助詞 終助詞 * * * *,273,27
何,何,何,代名詞 * * * * *,260,27
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,254,27
い,いる,居る,動詞 非自立可能 * * 上一段-ア行 連用形-一般,223,27
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,221,27
私,私,私,代名詞 * * * * *,220,24
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,215,27
それ,それ,其れ,代名詞 * * * * *,211,27
ね,ね,ね,助詞 終助詞 * * * *,210,27
ドライブ,ドライブ,ドライブ,名詞 普通名詞 サ変可能 * * *,201,26
から,から,から,助詞 格助詞 * * * *,198,27
セシル,セシル,セシル,名詞 固有名詞 人名 一般 * *,195,27
どう,どう,どう,副詞 * * * * *,193,27
ませ,ます,ます,助動詞 * * * 助動詞-マス 未然形-一般,193,26
この,この,此の,連体詞 * * * * *,192,27
って,って,って,助詞 副助詞 * * * *,191,25
エミリア,エミリア,エミリア,名詞 固有名詞 地名 一般 * *,189,23
オペ,オペ,オペ,名詞 普通名詞 サ変可能 * * *,187,17
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,181,27
通信,通信,通信,名詞 普通名詞 サ変可能 * * *,181,19
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,180,27
･,・,・,補助記号 一般 * * * *,180,25
さ,する,為る,動詞 非自立可能 * * サ行変格 未然形-サ,179,26
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,175,27
ああ,ああ,ああ,感動詞 一般 * * * *,170,27
ジーク,ジーク,ジーク,名詞 固有名詞 人名 一般 * *,169,18
が,が,が,助詞 接続助詞 * * * *,161,27
まし,ます,ます,助動詞 * * * 助動詞-マス 連用形-一般,157,27
僕,僕,僕,代名詞 * * * * *,157,24
その,その,其の,連体詞 * * * * *,156,27
リアクター,リアクター,リアクター,名詞 普通名詞 一般 * * *,151,23
お前,お前,御前,代名詞 * * * * *,151,22
から,から,から,助詞 接続助詞 * * * *,149,26
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 終止形-一般,148,27
俺,俺,俺,代名詞 * * * * *,147,24
あなた,あなた,貴方,代名詞 * * * * *,145,25
これ,これ,此れ,代名詞 * * * * *,144,27
そう,そう,そう,副詞 * * * * *,144,26
龍,龍,竜,名詞 普通名詞 一般 * * *,139,27
ハイパー,ハイパー,ハイパー,名詞 普通名詞 一般 * * *,136,23
翔,翔,翔,名詞 固有名詞 人名 名 * *,135,27
あの,あの,彼の,連体詞 * * * * *,135,26
たち,たち,達,接尾辞 名詞的 一般 * * *,132,27
いる,いる,居る,動詞 非自立可能 * * 上一段-ア行 連体形-一般,131,27
ば,ば,ば,助詞 接続助詞 * * * *,130,27
する,する,為る,動詞 非自立可能 * * サ行変格 連体形-一般,127,25
お,お,御,接頭辞 * * * * *,123,26
する,する,為る,動詞 非自立可能 * * サ行変格 終止形-一般,120,26
ネオ,ネオ,ネオ,名詞 普通名詞 一般 * * *,118,25
ロン,ロン,ロン,名詞 普通名詞 サ変可能 * * *,116,12
世界,世界,世界,名詞 普通名詞 一般 * * *,115,22
もの,もの,物,名詞 普通名詞 サ変可能 * * *,112,27
よう,よう,様,形状詞 助動詞語幹 * * * *,112,27
じゃ,だ,だ,助動詞 * * * 助動詞-ダ 連用形-融合,110,27
あり,ある,有る,動詞 非自立可能 * * 五段-ラ行 連用形-一般,109,27
フィオナ,フィオナ,フィオナ,名詞 固有名詞 人名 一般 * *,109,16
姫,姫,姫,名詞 普通名詞 一般 * * *,106,23
進化,進化,進化,名詞 普通名詞 サ変可能 * * *,105,22
まで,まで,まで,助詞 副助詞 * * * *,103,27
あ,あ,あっ,感動詞 一般 * * * *,100,23
いう,いう,言う,動詞 一般 * * 五段-ワア行 連体形-一般,98,21
なら,だ,だ,助動詞 * * * 助動詞-ダ 仮定形-一般,95,26
ため,ため,為,名詞 普通名詞 副詞可能 * * *,95,25
ここ,ここ,此処,代名詞 * * * * *,95,23
うっ,うっ,うう,感動詞 一般 * * * *,92,26
ない,ない,ない,助動詞 * * * 助動詞-ナイ 連体形-一般,91,26
量子,量子,量子,名詞 普通名詞 一般 * * *,91,25
ゴールド,ゴールド,ゴールド,名詞 普通名詞 一般 * * *,91,18
もう,もう,もう,副詞 * * * * *,84,24
せ,せる,せる,助動詞 * * * 下一段-サ行 連用形-一般,84,23
ぞ,ぞ,ぞ,助詞 終助詞 * * * *,83,26
はい,はい,はい,感動詞 一般 * * * *,82,26
たら,た,た,助動詞 * * * 助動詞-タ 仮定形-一般,80,25
今,今,今,名詞 普通名詞 副詞可能 * * *,80,23
力,力,力,名詞 普通名詞 一般 * * *,79,23
なっ,なる,成る,動詞 非自立可能 * * 五段-ラ行 連用形-促音便,77,26
家族,家族,家族,名詞 普通名詞 一般 * * *,77,20
人,人,人,名詞 普通名詞 一般 * * *,76,25
えっ,えっ,えっ,感動詞 一般 * * * *,76,23
ダーク,ダーク,ダーク,名詞 普通名詞 形状詞可能 * * *,76,20
だけ,だけ,だけ,助詞 副助詞 * * * *,75,23
混沌,混沌,混沌,形状詞 タリ * * * *,75,17
き,くる,来る,動詞 非自立可能 * * カ行変格 連用形-一般,74,27
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 終止形-一般,74,26
いい,いい,良い,形容詞 非自立可能 * * 形容詞 終止形-一般,74,25
なん,なん,何,代名詞 * * * * *,74,25
てる,てる,てる,助動詞 * * * 下一段-タ行 終止形-一般,74,23
ある,ある,有る,動詞 非自立可能 * * 五段-ラ行 連体形-一般,73,24
ハア,ハア,はあ,感動詞 一般 * * * *,71,23
パンドーラ,パンドーラ,パンドーラ,名詞 普通名詞 一般 * * *,71,20
銃声,銃声,銃声,名詞 普通名詞 一般 * * *,69,25
多重,多重,多重,名詞 普通名詞 一般 * * *,69,24
ああっ,ああっ,ああ,感動詞 一般 * * * *,68,21
ない,ない,無い,形容詞 非自立可能 * * 形容詞 連体形-一般,67,22
ら,ら,等,接尾辞 名詞的 一般 * * *,67,22
男,男,男,名詞 普通名詞 一般 * * *,67,22
第,第,第,接頭辞 * * * * *,65,21
ロン,ロン,ロン,名詞 固有名詞 人名 一般 * *,65,12
ください,くださる,下さる,動詞 非自立可能 * * 五段-ラ行 命令形,64,22
