Word,DictionaryForm,NormalizedForm,PartOfSpeech,Count,Files
の,の,の,助詞 格助詞 * * * *,1255,12
は,は,は,助詞 係助詞 * * * *,1165,12
に,に,に,助詞 格助詞 * * * *,1016,12
て,て,て,助詞 接続助詞 * * * *,989,12
を,を,を,助詞 格助詞 * * * *,824,12
だ,だ,だ,助動詞 * * * 助動詞-ダ 終止形-一般,819,12
リスタ,リスタ,リスタ,名詞 普通名詞 一般 * * *,728,12
が,が,が,助詞 格助詞 * * * *,687,12
聖哉,聖哉,聖哉,名詞 固有名詞 人名 名 * *,630,12
も,も,も,助詞 係助詞 * * * *,582,12
と,と,と,助詞 格助詞 * * * *,521,12
よ,よ,よ,助詞 終助詞 * * * *,516,12
で,で,で,助詞 格助詞 * * * *,494,12
の,の,の,助詞 準体助詞 * * * *,472,12
た,た,た,助動詞 * * * 助動詞-タ 連体形-一般,441,12
し,する,為る,動詞 非自立可能 * * サ行変格 連用形-一般,420,12
た,た,た,助動詞 * * * 助動詞-タ 終止形-一般,416,12
か,か,か,助詞 終助詞 * * * *,335,12
な,だ,だ,助動詞 * * * 助動詞-ダ 連体形-一般,313,12
ね,ね,ね,助詞 終助詞 * * * *,247,12
エルル,エルル,エルル,名詞 普通名詞 一般 * * *,238,10
な,な,な,助詞 終助詞 * * * *,236,12
って,って,って,助詞 副助詞 * * * *,232,12
マッシュ,マッシュ,マッシュ,名詞 普通名詞 一般 * * *,212,10
わ,わ,わ,助詞 終助詞 * * * *,205,12
ん,ん,の,助詞 準体助詞 * * * *,200,12
か,か,か,助詞 副助詞 * * * *,194,12
私,私,私,代名詞 * * * * *,192,12
です,です,です,助動詞 * * * 助動詞-デス 終止形-一般,191,12
ない,ない,ない,助動詞 * * * 助動詞-ナイ 終止形-一般,188,12
ない,ない,無い,形容詞 非自立可能 * * 形容詞 終止形-一般,188,12
〜,〜,〜,補助記号 一般 * * * *,178,12
それ,それ,其れ,代名詞 * * * * *,177,12
こと,こと,こと,名詞 普通名詞 一般 * * *,172,12
に,だ,だ,助動詞 * * * 助動詞-ダ 連用形-ニ,167,12
勇者,勇者,勇者,名詞 普通名詞 一般 * * *,167,12
様,様,様,接尾辞 名詞的 一般 * * *,161,12
から,から,から,助詞 接続助詞 * * * *,159,12
この,この,此の,連体詞 * * * * *,158,12
･,・,・,補助記号 一般 * * * *,155,12
女神,女神,女神,名詞 普通名詞 一般 * * *,153,12
これ,これ,此れ,代名詞 * * * * *,149,12
あっ,あっ,あっ,感動詞 一般 * * * *,139,12
の,の,の,助詞 終助詞 * * * *,135,12
なん,なん,何,代名詞 * * * * *,133,12
ん,ぬ,ず,助動詞 * * * 助動詞-ヌ 終止形-撥音便,132,12
から,から,から,助詞 格助詞 * * * *,129,12
魔王,魔王,魔王,名詞 普通名詞 一般 * * *,129,12
お前,お前,御前,代名詞 * * * * *,125,12
もう,もう,もう,副詞 * * * * *,122,12
何,何,何,代名詞 * * * * *,121,12
あ,あ,あっ,感動詞 一般 * * * *,120,12
どう,どう,どう,副詞 * * * * *,117,12
が,が,が,助詞 接続助詞 * * * *,116,12
そう,そう,そう,副詞 * * * * *,115,12
その,その,其の,連体詞 * * * * *,115,12
で,だ,だ,助動詞 * * * 助動詞-ダ 連用形-一般,114,12
ます,ます,ます,助動詞 * * * 助動詞-マス 終止形-一般,111,12
ば,ば,ば,助詞 接続助詞 * * * *,109,12
ロザリー,ロザリー,ロザリー,名詞 固有名詞 人名 一般 * *,105,6
俺,俺,俺,代名詞 * * * * *,104,12
ああ,ああ,ああ,感動詞 一般 * * * *,101,12
れ,れる,れる,助動詞 * * * 助動詞-レル 連用形-一般,99,12
あの,あの,彼の,連体詞 * * * * *,97,12
言っ,言う,言う,動詞 一般 * * 五段-ワア行 連用形-促音便,95,12
たち,たち,達,接尾辞 名詞的 一般 * * *,93,12
けど,けど,けれど,助詞 接続助詞 * * * *,91,12
世界,世界,世界,名詞 普通名詞 一般 * * *,90,12
